Original source Substance	pref_name	parent_chembl_id	molregno	mw_freebase	type	value	source_unit	Molar_value	pMolar_value	assay_chembl_id	activity_id	description	activity_comment	comments	source_description	pubmed_id	doc_title
ABACAVIR	ABACAVIR	CHEMBL1380	321707	286.34	Normal/therapeutic blood-plasma concentration	3.9	mg/L	1.3620171823706085e-05	4.86581741359675							22835221.0	Therapeutic and toxic blood concentrations of nearly 1,000 drugs and other xenobiotics
	ABACAVIR	CHEMBL1380	321707	286.34	Cmax	3.83	ug.mL-1	1.337570720122931e-05	4.873683246654625	CHEMBL1660924	5154220.0	Weight normalized Cmax in HIV infected patient at 600 mg QD by HPLC/MS/MS analysis			Scientific Literature	19188387.0	Steady-state pharmacokinetics of abacavir in plasma and intracellular carbovir triphosphate following administration of abacavir at 600 milligrams once daily and 300 milligrams twice daily in human immunodeficiency virus-infected subjects.
	ABACAVIR	CHEMBL1380	321707	286.34	Cmax	4.39	ug.mL-1	1.5331424181043517e-05	4.814417500381127	CHEMBL1661945	5154291.0	Weight normalized Cmax in HIV infected female patient at 600 mg QD by HPLC/MS/MS analysis			Scientific Literature	19188387.0	Steady-state pharmacokinetics of abacavir in plasma and intracellular carbovir triphosphate following administration of abacavir at 600 milligrams once daily and 300 milligrams twice daily in human immunodeficiency virus-infected subjects.
	ABACAVIR	CHEMBL1380	321707	286.34	Cmax	4.830000000000001	ug.mL-1	1.686805895089754e-05	4.7729348898717365	CHEMBL1661939	5154289.0	Cmax in HIV infected female patient at 600 mg QD by HPLC/MS/MS analysis			Scientific Literature	19188387.0	Steady-state pharmacokinetics of abacavir in plasma and intracellular carbovir triphosphate following administration of abacavir at 600 milligrams once daily and 300 milligrams twice daily in human immunodeficiency virus-infected subjects.
	ABACAVIR	CHEMBL1380	321707	286.34	Cmax	3.579999999999999	ug.mL-1	1.250261926381225e-05	4.9029989939793746	CHEMBL1661933	5154288.0	Weight normalized Cmax in HIV infected male patient at 600 mg QD by HPLC/MS/MS analysis			Scientific Literature	19188387.0	Steady-state pharmacokinetics of abacavir in plasma and intracellular carbovir triphosphate following administration of abacavir at 600 milligrams once daily and 300 milligrams twice daily in human immunodeficiency virus-infected subjects.
	ABACAVIR	CHEMBL1380	321707	286.34	Cmax	1.6600000000000001	ug.mL-1	5.797303904449257e-06	5.236773932583193	CHEMBL1661930	5154287.0	Weight normalized Cmax in HIV infected male patient at 300 mg BID by HPLC/MS/MS analysis			Scientific Literature	19188387.0	Steady-state pharmacokinetics of abacavir in plasma and intracellular carbovir triphosphate following administration of abacavir at 600 milligrams once daily and 300 milligrams twice daily in human immunodeficiency virus-infected subjects.
	ABACAVIR	CHEMBL1380	321707	286.34	Cmax	1.8399999999999996	ug.mL-1	6.425927219389536e-06	5.192064197613712	CHEMBL1660934	5154223.0	Cmax in HIV infected patient at 300 mg BID by HPLC/MS/MS analysis			Scientific Literature	19188387.0	Steady-state pharmacokinetics of abacavir in plasma and intracellular carbovir triphosphate following administration of abacavir at 600 milligrams once daily and 300 milligrams twice daily in human immunodeficiency virus-infected subjects.
	ABACAVIR	CHEMBL1380	321707	286.34	Cmax	2.249999999999999	ug.mL-1	7.857791436753506e-06	5.104699502511886	CHEMBL1661942	5154290.0	Weight normalized Cmax in HIV infected female patient at 300 mg BID by HPLC/MS/MS analysis			Scientific Literature	19188387.0	Steady-state pharmacokinetics of abacavir in plasma and intracellular carbovir triphosphate following administration of abacavir at 600 milligrams once daily and 300 milligrams twice daily in human immunodeficiency virus-infected subjects.
	ABACAVIR	CHEMBL1380	321707	286.34	Cmax	1.8399999999999996	ug.mL-1	6.425927219389536e-06	5.192064197613712	CHEMBL1660927	5154221.0	Weight normalized Cmax in HIV infected patient at 300 mg BID by HPLC/MS/MS analysis			Scientific Literature	19188387.0	Steady-state pharmacokinetics of abacavir in plasma and intracellular carbovir triphosphate following administration of abacavir at 600 milligrams once daily and 300 milligrams twice daily in human immunodeficiency virus-infected subjects.
	ABACAVIR	CHEMBL1380	321707	286.34	Cmax	2.0900000000000003	ug.mL-1	7.299015156806595e-06	5.136735734512194	CHEMBL1660921	5154219.0	Ratio of Cmax in HIV infected patient at 600 mg QD to Cmax in HIV infected patient at 300 mg BID by HPLC/MS/MS analysis			Scientific Literature	19188387.0	Steady-state pharmacokinetics of abacavir in plasma and intracellular carbovir triphosphate following administration of abacavir at 600 milligrams once daily and 300 milligrams twice daily in human immunodeficiency virus-infected subjects.
